"Ochric epipedon"|0|0|0|8|10|23|8|10|23|"11727407"|"3929332"
"Argillic horizon"|8|10|23|89|99|109|66|89|101|"11727407"|"3929333"
"Ochric epipedon"|0|0|0|20|31|40|20|31|40|"11727405"|"3929330"
"Argillic horizon"|20|31|40|76|99|108|36|68|68|"11727405"|"3929331"
"Ochric epipedon"|0|0|0|20|31|40|20|31|40|"11727401"|"3929328"
"Argillic horizon"|20|31|40|76|99|108|36|68|68|"11727401"|"3929329"
"Ochric epipedon"|0|0|0|10|15|20|10|15|20|"11727446"|"3929405"
"Cambic horizon"|10|15|20|60|84|102|50|69|82|"11727446"|"3929406"
"Argillic horizon"|30|46|64|90|114|174|60|68|110|"11727442"|"3929390"
"Redox depletions with chroma 2 or less"|90|114|174|140|152|200|25|38|75|"11727442"|"3929391"
"Redox concentrations"|60|81|110|140|152|200|50|71|100|"11727442"|"3929392"
"Mollic epipedon"|0|0|0|30|46|64|30|46|64|"11727442"|"3929393"
"Mollic epipedon"|0|0|0|41|51|65|41|51|65|"11727441"|"3929387"
"Argillic horizon"|45|51|65|95|107|130|50|56|65|"11727441"|"3929388"
"Aquic conditions"|50|51|60|100|107|200|50|56|140|"11727441"|"3929389"
