"t"|"33367436"|"11728053"
"p"|"33367434"|"11728052"
"g"|"33367494"|"11728027"
"g"|"33367493"|"11728026"
"p"|"33367490"|"11728025"
"t"|"33368453"|"11728259"
"t"|"33368452"|"11728260"
"t"|"33368451"|"11728258"
"g"|"33368449"|"11728458"
"g"|"33368448"|"11728457"
"p"|"33368446"|"11728456"
"t"|"33368443"|"11728264"
"t"|"33368442"|"11728263"
"t"|"33368441"|"11728262"
"t"|"33368436"|"11728261"
"p"|"33368434"|"11728253"
"t"|"33368433"|"11728254"
"g"|"33368432"|"11728257"
"g"|"33368431"|"11728256"
"p"|"33368429"|"11728255"
"t"|"33368427"|"11728252"
"t"|"33368426"|"11728251"
"p"|"33368425"|"11728250"
"t"|"33368424"|"11728249"
"t"|"33368623"|"11728327"
"p"|"33368622"|"11728326"
"t"|"33368620"|"11728325"
"t"|"33368619"|"11728324"
"p"|"33368617"|"11728323"
"p"|"33368597"|"11728317"
"t"|"33368593"|"11728318"
"t"|"33368592"|"11728319"
