"k"|"34650141"|"12379596"
"b"|"34650141"|"12379597"
"t"|"34650140"|"12379593"
"k"|"34650140"|"12379594"
"b"|"34650140"|"12379595"
"t"|"34650139"|"12379590"
"k"|"34650139"|"12379591"
"b"|"34650139"|"12379592"
"p"|"34650138"|"12379586"
"t"|"34650137"|"12379588"
"k"|"34650137"|"12379589"
"t"|"34650136"|"12379587"
"t"|"34650135"|"12379578"
"k"|"34650135"|"12379579"
"b"|"34650135"|"12379580"
"t"|"34650134"|"12379576"
"k"|"34650134"|"12379577"
"k"|"34650133"|"12379584"
"b"|"34650133"|"12379585"
"p"|"34650132"|"12379574"
"t"|"34650131"|"12379575"
"t"|"34650130"|"12379581"
"k"|"34650130"|"12379582"
"b"|"34650130"|"12379583"
"k"|"34650129"|"12379571"
"t"|"34650128"|"12379570"
"t"|"34650127"|"12379573"
"p"|"34650126"|"12379572"
"t"|"34650124"|"12379564"
"p"|"34650123"|"12379569"
"k"|"34650122"|"12379568"
"k"|"34650121"|"12379567"
"t"|"34650120"|"12379565"
|"34650120"|"12379566"
"k"|"34650170"|"12379643"
"t"|"34650169"|"12379642"
"t"|"34650168"|"12379641"
"p"|"34650167"|"12379640"
"k"|"34650166"|"12379644"
"k"|"34650165"|"12379607"
"p"|"34650164"|"12379606"
"t"|"34650163"|"12379645"
"t"|"34650162"|"12379646"
"k"|"34650082"|"12379544"
"t"|"34650081"|"12379543"
"t"|"34650080"|"12379546"
"p"|"34650079"|"12379545"
"p"|"34650078"|"12379542"
"g"|"34650077"|"12379541"
"g"|"34650076"|"12379540"
"t"|"34650074"|"12379539"
"t"|"34650073"|"12379538"
"p"|"34650072"|"12379537"
