"H1"||"H"||1||0|||15|||||0|0|0|0|0|0|100|100|100|100|100|100|85|90|95|60|67.5|75||43|||4.2|||5.8|||7.6|||13.3|||12.1|||39.5||||||||15|17.5|20||||3|4.5|6||||1.25|1.33|1.4|||||1.39|||4|23|42|0.14|0.16|0.17|||||29.7|||14.9|||45||0|1.5|2.9|25|27.5|30|5|7.5|10|0|3|6|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|10|17.5|25|||||||6.6|7.2|7.8|||||||||||||||||||||||||||||||||"12126327"|"34649932"
"H2"||"H"||2||15|||79|||||0|0|0|0|0|0|100|100|100|100|100|100|90|95|100|60|67.5|75||33.2|||3|||4.2|||5.7|||10.4|||9.9|||36.3||||||||27|30.5|34||||1|2|3||||1.25|1.33|1.4|||||1.52|||1.411|3|4.233|0.17|0.19|0.2|||||32.1|||18.6|||46||3|4.5|5.9|30|35|40|10|15|20|3|8|14|".28"|".28"|0|1|2|0|0|0|0|0|0|0|0|0|15|20|25|||||||7.4|7.6|7.8|||||||||||||||||||||||||||||||||"12126327"|"34649933"
"H3"||"H"||3||79|||152|||||0|0|0|0|0|0|100|100|100|100|100|100|80|87.5|95|60|67.5|75||44.3|||4.3|||5.9|||7.9|||13.7|||12.5|||40.7||||||||10|15|20||||0.5|0.75|1||||1.25|1.33|1.4|||||1.39|||4|23|42|0.14|0.16|0.17|||||24.8|||8.9|||47||0|1.5|2.9|20|22.5|25|0|2.5|5|0|0|2|".37"|".37"|5|10|15|0|0|0|0|0|0|0|0|0|4|9.5|15|||||||7.9|8.2|8.4|||||||||||||||||||||||||||||||||"12126327"|"34649934"
"Ap"||"A"|||0|0|0|18|22|31|20|22|31|0|0|0|0|0|0|100|100|100|100|100|100|77|82|89|33|40|49|55|68|75|2|2.6|5|9.3|10.7|15|15.5|17.8|21|21|23.6|28|11|13.3|18|7|19|38||11|||8||7|13|18|0|0|0|1.1|2.8|4||||1.45|1.53|1.6||||1.51|1.59|1.67||14.11|28|42.34|0.1|0.11|0.12||||15.7|21.6|25.1|6.1|12.4|17.2|36|38|41|0|1.3|3|20|30|37|3|8|12|0|0|3|".15"|".15"|0|0|0|0|0|0|0|0|0|0|1|2|6.5|11.7|15.9||||6.4|12.5|16.4|6|7|7.3|6.1|6.5|7.3|||||||1|3|6.7|||||||||||||||||||||"12126445"|"34650072"
"Bt1"||"B"||1|18|22|31|35|52|67|4|30|49|0|0|0|0|0|0|100|100|100|100|100|100|75|79|85|39|44|51|55|63|70|2|3.7|5|10|13|15|14|17.8|20|15|16.9|22|9|11.6|14|10|18|30||10|||8||15|19|28|0|0|0|1.1|1.8|3||||1.25|1.38|1.5||||1.34|1.47|1.51||14.11|16|42.34|0.1|0.12|0.13||||19.7|22.3|26.8|10.1|13.3|19.9|40|44|49|0|2.1|3|27|33|44|9|12|19|0|2|6|".24"|".24"|0|0|0|0|0|0|0|0|0|0|1|2|12.9|16.2|23.5||||12.8|16.7|23.5|6.6|7.2|7.8|6.1|6.7|7.3|||||||0.4|2.6|5.5|||||||||||||||||||||"12126445"|"34650073"
"2Bt2"|2|"B"||2|35|52|67|70|88|105|3|36|70|0|0|0|0|0|0|93|96|100|87|94|100|72|87|100|49|63|79|33|39|55|0.5|1.3|1.5|2|4.9|6|3|7.7|9|9|14.1|16|10|11|25|11|33|49||21|||12||18|28|34|0|2|5|1.1|1.25|2||||1.25|1.33|1.4||||1.39|1.47|1.59||1.41|3|4.23|0.15|0.17|0.21||||25.1|30.2|33.7|10.6|16.6|21.3|41|45|49|3|3.4|6|30|40|48|10|18|24|2|9|19|".32"|".32"|0|4|10|0|0|0|0|0|0|0|1|2|15.1|21.2|23.8||||15.7|21.2|23.8|7.4|7.9|8.4|7.4|7.6|7.8|||||||0|1.1|3|||||||||||||||||||||"12126445"|"34650074"
"2C"|2|"C"|||70|88|105|200|200|200|95|112|130|0|0|0|0|0|0|90|95|100|83|91|100|65|79|95|38|51|68|40|50|66|0.5|1.1|1.5|5|8.7|12|8|12.4|14|11|16.5|18|7|11.3|25|9|31|47||11|||20||13|19|25|2|5|7|0|0.25|0.75||||1.25|1.43|1.6||||1.31|1.49|1.66||4.23|6|14.11|0.08|0.15|0.17||||20.9|25.5|29.9|6.7|10.6|15.3|34|41|50|0|1.3|3|21|28|36|5|10|16|0|2|9|".32"|".32"|5|9|14|0|0|0|0|0|0|0|1|2|8.3|11.4|14.9||||8.3|11.4|14.9|7.4|7.9|8.4|7.4|7.6|7.8|||||||0|0|1.6|||||||||||||||||||||"12126445"|"34650075"
"ACg"||"AC"|||10|25|35|35|38|50|0|13|40|0|0|0|0|0|0|100|100|100|100|100|100|91|94|99|11|13|17|89|95|95|0|0|1|0|1|5|10|18|22|57|62|68|10|14|20|1|1|8.5||0.6|||0.4||2|4|4|0|0|0|0.5|0.75|1.1||||1.6|1.7|1.8||||1.62|1.72|1.86|2.64|42|92|141|0.06|0.07|0.08|12.8|14.9|15.4|8.6|11.2|11.8|2.4|4.4|5|30|34|37|0|0.4|3|0|17|19|0|1|2|0|0|0|".02"|".02"|0|0|0|0|0|0|0|0|0|0|1|2|2.4|4.4|4.5||||1.9|4.3|12.5|5.6|6.7|7.8|5.6|6.1|6.5|||||||0|2.3|5.5|||||||||||||||||||||"12126446"|"34650076"
"Cg"||"C"|||35|38|50|200|200|200|150|162|165|0|0|0|0|0|0|100|100|100|100|100|100|91|94|99|11|13|17|89|95|95|0|0|1|0|1|5|10|18|22|57|62|68|10|14|20|1|1|8.5||0.6|||0.4||2|4|4|0|0|0|0|0.25|0.5||||1.6|1.7|1.8||||1.62|1.72|1.86|2.65|42|92|141|0.05|0.06|0.07|11.4|14.1|14.6|7.1|10.2|10.7|1.6|3.5|4|30|34|38|0|0.3|3|0|16|18|0|1|2|0|0|0|".02"|".02"|0|0|0|0|0|0|0|0|0|0|1|2|1.6|3.1|3.1||||1.4|3|11.1|5.6|6.7|7.8|5.6|6.1|6.5|||||||0|2|5.1|||||||||||||||||||||"12126446"|"34650077"
"Ap"||"A"|||0|0|0|10|25|35|10|25|35|0|0|0|0|0|0|100|100|100|100|100|100|84|91|99|36|46|55|50|64|80|0|0|1|3|5|8|10|14|18|23|28|33|12|17|22|7|27|45||15|||12||5|9|15|0|0|0|4|6|8||||1.3|1.4|1.5||||1.33|1.43|1.53|2.56|14|28|42|0.16|0.17|0.18||||18.3|22.6|26.8|8.6|13.7|19.9|39|43|47|0|0.6|3|25|33|44|2|5|9|0|0|4|".20"|".20"|0|0|0|0|0|0|0|0|0|0|1|2|6.3|10.4|16.1||||4.9|10.2|24.1|5.6|6.7|7.8|5.6|6.1|6.5|||||||0.6|4.8|9.2|||||||||||||||||||||"12126446"|"34650078"
