"SC-SM"|"Yes"|"34649938"|"65667312"
"SM"|"Yes"|"34649938"|"65667313"
"CL-ML"|"Yes"|"34649937"|"65667308"
"ML"|"Yes"|"34649937"|"65667309"
"SC-SM"|"Yes"|"34649937"|"65667310"
"SM"|"Yes"|"34649937"|"65667311"
"CL"|"Yes"|"34649936"|"65667304"
"CL-ML"|"Yes"|"34649936"|"65667305"
"SC"|"Yes"|"34649936"|"65667306"
"SC-SM"|"Yes"|"34649936"|"65667307"
"CL"|"Yes"|"34649935"|"65667300"
"CL-ML"|"Yes"|"34649935"|"65667301"
"SC"|"Yes"|"34649935"|"65667302"
"SC-SM"|"Yes"|"34649935"|"65667303"
"CL"|"Yes"|"34650033"|"65667515"
"CL-ML"|"Yes"|"34650033"|"65667516"
"SC"|"Yes"|"34650033"|"65667517"
"SC-SM"|"Yes"|"34650033"|"65667518"
"CL"|"Yes"|"34650032"|"65667514"
"CL"|"Yes"|"34650031"|"65667512"
"CL-ML"|"Yes"|"34650031"|"65667513"
"CL"|"Yes"|"34650141"|"65667668"
"CL"|"Yes"|"34650140"|"65667667"
"CL"|"Yes"|"34650139"|"65667666"
"CL"|"Yes"|"34650138"|"65667665"
"CL"|"Yes"|"34650137"|"65667664"
"CH"|"Yes"|"34650136"|"65667663"
"CL"|"Yes"|"34650135"|"65667662"
"CL"|"Yes"|"34650134"|"65667661"
"CL"|"Yes"|"34650133"|"65667660"
"CL"|"Yes"|"34650132"|"65667659"
"CH"|"Yes"|"34650131"|"65667658"
"CL"|"Yes"|"34650130"|"65667657"
"SC"|"Yes"|"34650129"|"65667656"
"SC"|"Yes"|"34650128"|"65667655"
"SC"|"Yes"|"34650127"|"65667654"
"SC-SM"|"No "|"34650126"|"65667652"
"SC"|"Yes"|"34650126"|"65667653"
"SC-SM"|"Yes"|"34650125"|"65667650"
"SM"|"No "|"34650125"|"65667651"
"CH"|"Yes"|"34650124"|"65667649"
"CL"|"Yes"|"34650123"|"65667648"
"SC"|"Yes"|"34650122"|"65667647"
"CL"|"Yes"|"34650121"|"65667646"
"CH"|"Yes"|"34650120"|"65667645"
"SC"|"Yes"|"34650119"|"65667644"
"SC-SM"|"Yes"|"34650019"|"65667487"
"SM"|"Yes"|"34650019"|"65667488"
"SC-SM"|"Yes"|"34650018"|"65667485"
"SM"|"Yes"|"34650018"|"65667486"
"SC"|"Yes"|"34650017"|"65667483"
"SC-SM"|"Yes"|"34650017"|"65667484"
"SC-SM"|"Yes"|"34650016"|"65667481"
"SM"|"Yes"|"34650016"|"65667482"
"SC-SM"|"Yes"|"34650015"|"65667479"
"SM"|"Yes"|"34650015"|"65667480"
"SC"|"Yes"|"34650014"|"65667477"
"SC-SM"|"Yes"|"34650014"|"65667478"
"SC-SM"|"No "|"34650170"|"65667707"
"SM"|"No "|"34650170"|"65667708"
"SC"|"Yes"|"34650170"|"65667709"
"SC-SM"|"No "|"34650169"|"65667705"
"SC"|"Yes"|"34650169"|"65667706"
"SC"|"Yes"|"34650168"|"65667704"
"SC-SM"|"Yes"|"34650167"|"65667703"
"SC-SM"|"Yes"|"34650166"|"65667701"
"SM"|"No "|"34650166"|"65667702"
"SC-SM"|"No "|"34650165"|"65667699"
"SC"|"Yes"|"34650165"|"65667700"
"SC"|"Yes"|"34650164"|"65667698"
"CL"|"Yes"|"34650163"|"65667697"
"CL"|"Yes"|"34650162"|"65667696"
"SM"|"Yes"|"34650161"|"65667695"
"SC-SM"|"Yes"|"34650013"|"65667475"
"SM"|"Yes"|"34650013"|"65667476"
"SC-SM"|"Yes"|"34650012"|"65667473"
"SM"|"Yes"|"34650012"|"65667474"
"SC-SM"|"Yes"|"34650011"|"65667471"
"SM"|"Yes"|"34650011"|"65667472"
"ML"|"Yes"|"34649999"|"65667437"
"ML"|"Yes"|"34649998"|"65667436"
"ML"|"Yes"|"34649997"|"65667435"
"CL"|"Yes"|"34649996"|"65667433"
"CL-ML"|"Yes"|"34649996"|"65667434"
"ML"|"Yes"|"34649995"|"65667432"
"ML"|"Yes"|"34649994"|"65667431"
"SM"|"Yes"|"34649991"|"65667425"
"SP-SM"|"Yes"|"34649991"|"65667426"
"ML"|"Yes"|"34649990"|"65667423"
"SM"|"Yes"|"34649990"|"65667424"
"SM"|"Yes"|"34649989"|"65667422"
"SC-SM"|"Yes"|"34650083"|"65667606"
"SC"|"No "|"34650083"|"65667607"
"SM"|"No "|"34650083"|"65667608"
"SC"|"Yes"|"34650082"|"65667605"
"SC"|"Yes"|"34650081"|"65667603"
"CL"|"No "|"34650081"|"65667604"
"SC"|"Yes"|"34650080"|"65667601"
"CL"|"No "|"34650080"|"65667602"
"SC"|"Yes"|"34650079"|"65667599"
"SC-SM"|"No "|"34650079"|"65667600"
"SM"|"Yes"|"34650078"|"65667598"
"SM"|"Yes"|"34650077"|"65667597"
"SM"|"Yes"|"34650076"|"65667596"
"CL"|"Yes"|"34650075"|"65667594"
"SC-SM"|"No "|"34650075"|"65667595"
"CL"|"Yes"|"34650074"|"65667592"
"SC"|"No "|"34650074"|"65667593"
"CL"|"No "|"34650073"|"65667590"
"SC"|"Yes"|"34650073"|"65667591"
"SM"|"No "|"34650072"|"65667588"
"SC"|"Yes"|"34650072"|"65667589"
"CL-ML"|"Yes"|"34649934"|"65667298"
"ML"|"Yes"|"34649934"|"65667299"
"CL"|"Yes"|"34649933"|"65667297"
"CL"|"Yes"|"34649932"|"65667295"
"CL-ML"|"Yes"|"34649932"|"65667296"
