45800|"287486"|"95093"|"16505417"
|"287485"|"95093"|"16505416"
42715|"287484"|"95093"|"16505415"
38100|"287486"|"95081"|"16505498"
|"287485"|"95081"|"16505497"
35926|"287484"|"95081"|"16505496"
45800|"287486"|"95079"|"16505535"
|"287485"|"95079"|"16505534"
47911|"287484"|"95079"|"16505533"
12600|"287486"|"95075"|"16505483"
|"287485"|"95075"|"16505482"
12362|"287484"|"95075"|"16505481"
23400|"287486"|"95074"|"16505480"
|"287485"|"95074"|"16505479"
24009|"287484"|"95074"|"16505478"
19800|"287486"|"95073"|"16505544"
|"287485"|"95073"|"16505543"
24134|"287484"|"95073"|"16505542"
35100|"287486"|"95072"|"16505477"
|"287485"|"95072"|"16505476"
34883|"287484"|"95072"|"16505475"
150500|"287486"|"95068"|"16505465"
|"287485"|"95068"|"16505464"
158263|"287484"|"95068"|"16505463"
62500|"287486"|"95066"|"16505459"
|"287485"|"95066"|"16505458"
57915|"287484"|"95066"|"16505457"
71700|"287486"|"95061"|"16505523"
|"287485"|"95061"|"16505522"
69451|"287484"|"95061"|"16505521"
10700|"287486"|"95051"|"16505414"
|"287485"|"95051"|"16505413"
10387|"287484"|"95051"|"16505412"
