"Grass-legume hay"|"Tons"||5.2|||||||"12574696"|"26621320"
"Grass-legume pasture"|"AUM"||7.7|||||||"12574696"|"26621321"
"Corn"|"Bu"||173|||||||"12574696"|"26621322"
"Oats"|"Bu"||89|||||||"12574696"|"26621323"
"Soybeans"|"Bu"||57|||||||"12574696"|"26621324"
"Winter wheat"|"Bu"||67|||||||"12574696"|"26621325"
"Grass-legume pasture"|"AUM"||7.5|||||||"12574695"|"26621314"
"Corn"|"Bu"||122|||||||"12574695"|"26621315"
"Oats"|"Bu"||68|||||||"12574695"|"26621316"
"Soybeans"|"Bu"||42|||||||"12574695"|"26621317"
"Winter wheat"|"Bu"||51|||||||"12574695"|"26621318"
"Grass-legume hay"|"Tons"||4.5|||||||"12574695"|"26621319"
"Corn"|"Bu"||182|||||||"12574694"|"26621308"
"Soybeans"|"Bu"||59|||||||"12574694"|"26621309"
"Winter wheat"|"Bu"||68|||||||"12574694"|"26621310"
"Oats"|"Bu"||89|||||||"12574694"|"26621311"
"Grass-legume hay"|"Tons"||5.39|||||||"12574694"|"26621312"
"Grass-legume pasture"|"AUM"||7.17|||||||"12574694"|"26621313"
"Grass-legume pasture"|"AUM"||7.5|||||||"12574693"|"26621302"
"Corn"|"Bu"||190|||||||"12574693"|"26621303"
"Soybeans"|"Bu"||61|||||||"12574693"|"26621304"
"Winter wheat"|"Bu"||74|||||||"12574693"|"26621305"
"Oats"|"Bu"||97|||||||"12574693"|"26621306"
"Grass-legume hay"|"Tons"||5.65|||||||"12574693"|"26621307"
"Grass-legume hay"|"Tons"||4.86|||||||"12574692"|"26621296"
"Grass-legume pasture"|"AUM"||7.2|||||||"12574692"|"26621297"
"Winter wheat"|"Bu"||61|||||||"12574692"|"26621298"
"Corn"|"Bu"||164|||||||"12574692"|"26621299"
"Oats"|"Bu"||80|||||||"12574692"|"26621300"
"Soybeans"|"Bu"||53|||||||"12574692"|"26621301"
"Corn"|"Bu"|115|127|147||||||"12574720"|"26621422"
"Soybeans"|"Bu"|38|42|48||||||"12574720"|"26621423"
"Winter wheat"|"Bu"|46|51|59||||||"12574720"|"26621424"
"Oats"|"Bu"|57|64|73||||||"12574720"|"26621425"
"Grass-legume hay"|"Tons"|3.28|3.64|4.2||||||"12574720"|"26621426"
"Grass-legume pasture"|"AUM"|5.46|6.07|7.01||||||"12574720"|"26621427"
"Corn"|"Bu"|129|143|162||||||"12574719"|"26621416"
"Soybeans"|"Bu"|43|48|54||||||"12574719"|"26621417"
"Winter wheat"|"Bu"|51|57|64||||||"12574719"|"26621418"
"Oats"|"Bu"|65|72|82||||||"12574719"|"26621419"
"Grass-legume hay"|"Tons"|3.8|4.22|4.77||||||"12574719"|"26621420"
"Grass-legume pasture"|"AUM"|6.33|7.03|7.95||||||"12574719"|"26621421"
"Timothy-alsike"|"AUM"||6.8|||||||"12574682"|"26621246"
"Timothy-alsike hay"|"Tons"||4.9|||||||"12574682"|"26621247"
"Corn"|"Bu"||170|||||||"12574682"|"26621248"
"Soybeans"|"Bu"||54|||||||"12574682"|"26621249"
"Winter wheat"|"Bu"||64|||||||"12574682"|"26621250"
"Oats"|"Bu"||87|||||||"12574682"|"26621251"
"Grass-legume hay"|"Tons"||5.2|||||||"12574682"|"26621252"
"Grass-legume pasture"|"AUM"||7.7|||||||"12574682"|"26621253"
"Bromegrass-alfalfa"|"AUM"||7.4|||||||"12574681"|"26621239"
"Corn"|"Bu"||167|||||||"12574681"|"26621240"
"Soybeans"|"Bu"||53|||||||"12574681"|"26621241"
"Winter wheat"|"Bu"||66|||||||"12574681"|"26621242"
"Oats"|"Bu"||89|||||||"12574681"|"26621243"
"Grass-legume hay"|"Tons"||4.97|||||||"12574681"|"26621244"
"Grass-legume pasture"|"AUM"||7.3|||||||"12574681"|"26621245"
"Timothy-alsike"|"AUM"||6.8|||||||"12574680"|"26621231"
"Timothy-alsike hay"|"Tons"||4.9|||||||"12574680"|"26621232"
"Corn"|"Bu"||170|||||||"12574680"|"26621233"
"Soybeans"|"Bu"||54|||||||"12574680"|"26621234"
"Winter wheat"|"Bu"||64|||||||"12574680"|"26621235"
"Oats"|"Bu"||87|||||||"12574680"|"26621236"
"Grass-legume hay"|"Tons"||5.2|||||||"12574680"|"26621237"
"Grass-legume pasture"|"AUM"||7.7|||||||"12574680"|"26621238"
"Corn"|"Bu"|158|175|197||||||"12574784"|"26621754"
"Soybeans"|"Bu"|49|54|61||||||"12574784"|"26621755"
"Winter wheat"|"Bu"|59|65|74||||||"12574784"|"26621756"
"Oats"|"Bu"|75|83|94||||||"12574784"|"26621757"
"Grass-legume hay"|"Tons"|4.6|5.11|6.1||||||"12574784"|"26621758"
"Grass-legume pasture"|"AUM"|7.67|8.52|9.62||||||"12574784"|"26621759"
"Corn"|"Bu"|153|170|192||||||"12574783"|"26621747"
"Oats"|"Bu"|79|88|99||||||"12574783"|"26621748"
"Soybeans"|"Bu"|50|56|63||||||"12574783"|"26621749"
"Winter wheat"|"Bu"|59|65|74||||||"12574783"|"26621750"
"Grass-legume hay"|"Tons"|4.3|5.1|5.8||||||"12574783"|"26621751"
"Grass-legume pasture"|"AUM"|4.5|8.5|9.7||||||"12574783"|"26621752"
"Corn silage"|"Tons"|25|28.9|32.6||||||"12574783"|"26621753"
"Corn"|"Bu"|152|169|191||||||"12574782"|"26621741"
"Grass-legume hay"|"Tons"|4.7|5.2|5.9||||||"12574782"|"26621742"
"Oats"|"Bu"|80|89|100||||||"12574782"|"26621743"
"Soybeans"|"Bu"|50|55|62||||||"12574782"|"26621744"
"Winter wheat"|"Bu"|61|68|77||||||"12574782"|"26621745"
