"Mollic epipedon"|0|0|0|25|41|56|25|42|60|"12574692"|"4577196"
"Calcic horizon"|0|20|40|40|50|60|15|37|60|"12574692"|"4577197"
"Ochric epipedon"|0|0|0|18|18|24|18|18|24|"12574720"|"4577234"
"Densic materials"|89|122|130|152|152|200|22|30|111|"12574720"|"4577235"
"Argillic horizon"|18|18|24|89|122|130|65|104|112|"12574720"|"4577236"
"Mollic epipedon"|0|0|0|25|48|61|25|48|61|"12574719"|"4577231"
"Cambic horizon"|25|48|61|76|147|165|33|99|127|"12574719"|"4577232"
"Aquic conditions"|25|33|61|152|168|200|91|135|175|"12574719"|"4577233"
"Mollic epipedon"|0|0|0|31|58|61|31|58|61|"12574783"|"4577374"
"Cambic horizon"|31|58|61|94|119|152|33|61|121|"12574783"|"4577375"
"Mollic epipedon"|0|0|0|25|46|49|25|46|49|"12574782"|"4577372"
"Argillic horizon"|25|46|49|100|127|150|51|81|125|"12574782"|"4577373"
"Mollic epipedon"|0|0|0|25|30|61|25|30|61|"12574743"|"4577300"
"Cambic horizon"|25|30|61|76|137|152|53|107|120|"12574743"|"4577301"
"Lithologic discontinuity"|38|74|102|38|74|102|0|0|0|"12574743"|"4577302"
"Aquic conditions"|25|30|61|152|152|152|91|122|127|"12574743"|"4577303"
"Aquic conditions"|30|30|61|152|152|200|91|122|170|"12574742"|"4577296"
"Lithologic discontinuity"|51|81|102|51|81|102|0|0|0|"12574742"|"4577297"
"Mollic epipedon"|0|0|0|25|30|43|25|30|43|"12574742"|"4577298"
"Argillic horizon"|30|41|43|64|91|114|23|50|84|"12574742"|"4577299"
"Mollic epipedon"|0|0|0|25|53|61|25|53|61|"12574741"|"4577292"
"Cambic horizon"|25|53|61|114|175|191|85|122|152|"12574741"|"4577293"
"Lithologic discontinuity"|102|112|152|102|112|152|0|0|0|"12574741"|"4577294"
"Aquic conditions"|25|53|61|152|200|200|91|147|175|"12574741"|"4577295"
"Mollic epipedon"|0|0|0|25|33|61|25|33|61|"12574717"|"4577228"
"Cambic horizon"|25|33|61|102|173|178|58|140|150|"12574717"|"4577229"
"Lithologic discontinuity"|76|107|127|76|107|127|0|0|0|"12574717"|"4577230"
"Mollic epipedon"|0|0|0|25|46|61|25|46|61|"12574713"|"4577211"
"Aquic conditions"|25|46|61|152|152|152|91|106|127|"12574713"|"4577212"
"Cambic horizon"|25|46|61|56|104|117|25|58|89|"12574713"|"4577213"
"Lithologic discontinuity"|91|142|152|91|142|152|0|0|0|"12574713"|"4577214"
"Calcic horizon"|0|0|41|15|46|76|15|46|71|"12574713"|"4577215"
"Mollic epipedon"|0|0|0|61|69|91|61|69|91|"12574712"|"4577208"
"Cambic horizon"|61|69|91|97|127|152|30|58|91|"12574712"|"4577209"
"Aquic conditions"|61|69|91|152|152|152|61|83|91|"12574712"|"4577210"
"Mollic epipedon"|0|0|0|25|53|61|25|53|61|"12574711"|"4577204"
"Cambic horizon"|25|53|61|114|175|191|85|122|152|"12574711"|"4577205"
"Lithologic discontinuity"|102|112|152|102|112|152|0|0|0|"12574711"|"4577206"
"Aquic conditions"|25|53|61|152|200|200|91|147|175|"12574711"|"4577207"
"Mollic epipedon"|0|0|0|25|48|61|25|48|61|"12574716"|"4577224"
"Cambic horizon"|25|48|61|102|119|165|61|71|119|"12574716"|"4577225"
"Aquic conditions"|25|36|61|152|152|200|91|116|175|"12574716"|"4577226"
"Lithologic discontinuity"|102|104|152|102|104|152|0|0|0|"12574716"|"4577227"
"Mollic epipedon"|0|0|0|25|28|36|25|28|36|"12574715"|"4577219"
"Albic horizon"|25|28|36|35|38|61|10|10|25|"12574715"|"4577220"
"Lithologic discontinuity"|76|104|137|76|104|137|0|0|0|"12574715"|"4577221"
"Aquic conditions"|0|28|30|152|152|200|122|124|200|"12574715"|"4577222"
"Argillic horizon"|35|38|61|102|124|165|41|86|100|"12574715"|"4577223"
"Mollic epipedon"|0|0|0|25|41|48|25|41|48|"12574714"|"4577216"
"Argillic horizon"|25|41|48|102|125|178|61|84|117|"12574714"|"4577217"
"Lithologic discontinuity"|102|125|152|102|125|152|0|0|0|"12574714"|"4577218"
"Argillic horizon"|25|41|46|102|104|152|56|63|127|"12574737"|"4577286"
"Mollic epipedon"|0|0|0|25|41|46|25|41|46|"12574737"|"4577287"
"Lithologic discontinuity"|102|104|145|102|104|145|0|0|0|"12574737"|"4577288"
