"p"|"35936194"|"12989257"
"g"|"35936193"|"12989263"
"p"|"35936192"|"12989261"
"t"|"35936191"|"12989264"
"g"|"35936191"|"12989265"
"g"|"35936190"|"12989262"
"g"|"35936189"|"12989311"
"t"|"35936188"|"12989309"
"g"|"35936188"|"12989310"
"t"|"35936187"|"12989307"
"g"|"35936187"|"12989308"
"p"|"35936186"|"12989306"
"g"|"35936172"|"12989101"
"g"|"35936171"|"12989100"
"g"|"35936170"|"12989099"
"p"|"35936169"|"12989097"
"k"|"35936169"|"12989098"
"g"|"35936168"|"12989105"
"g"|"35936167"|"12989104"
"g"|"35936166"|"12989103"
"p"|"35936165"|"12989102"
"t"|"35936163"|"12989277"
"g"|"35936163"|"12989278"
"t"|"35936162"|"12989275"
"g"|"35936162"|"12989276"
"p"|"35936161"|"12989274"
"g"|"35936185"|"12989096"
"t"|"35936184"|"12989094"
"g"|"35936184"|"12989095"
"t"|"35936183"|"12989092"
"g"|"35936183"|"12989093"
"p"|"35936182"|"12989091"
"g"|"35936181"|"12989296"
"g"|"35936180"|"12989294"
"t"|"35936180"|"12989295"
"g"|"35936179"|"12989292"
"t"|"35936179"|"12989293"
"g"|"35936178"|"12989291"
"p"|"35936177"|"12989290"
"g"|"35936176"|"12989285"
"t"|"35936175"|"12989288"
"g"|"35936175"|"12989289"
"t"|"35936174"|"12989287"
"p"|"35936173"|"12989286"
"d"|"35936197"|"12989260"
"t"|"35936196"|"12989259"
"t"|"35936195"|"12989258"
"t"|"35936423"|"12989246"
"g"|"35936423"|"12989247"
"t"|"35936422"|"12989243"
"g"|"35936422"|"12989244"
"p"|"35936421"|"12989242"
"g"|"35936420"|"12989245"
"g"|"35936419"|"12989317"
"g"|"35936417"|"12989315"
"t"|"35936417"|"12989316"
"g"|"35936416"|"12989313"
"t"|"35936416"|"12989314"
"p"|"35936415"|"12989312"
"g"|"35936281"|"12989305"
"g"|"35936280"|"12989304"
"g"|"35936279"|"12989303"
"p"|"35936278"|"12989302"
"t"|"35936277"|"12989271"
"t"|"35936275"|"12989269"
"g"|"35936275"|"12989270"
"p"|"35936274"|"12989268"
"t"|"35936272"|"12989300"
"g"|"35936272"|"12989301"
"t"|"35936271"|"12989298"
"g"|"35936271"|"12989299"
"p"|"35936270"|"12989297"
"t"|"35936263"|"12989267"
"p"|"35936261"|"12989266"
