"CL"|"Yes"|"35936117"|"68184651"
"CL"|"Yes"|"35936116"|"68184650"
"CL"|"No "|"35936115"|"68184647"
"ML"|"No "|"35936115"|"68184648"
"MH"|"Yes"|"35936115"|"68184649"
"CL"|"Yes"|"35936114"|"68184646"
"CL"|"Yes"|"35936113"|"68184644"
"ML"|"No "|"35936113"|"68184645"
"CL"|"Yes"|"35936112"|"68184642"
"ML"|"No "|"35936112"|"68184643"
"CL"|"Yes"|"35936111"|"68184640"
"ML"|"No "|"35936111"|"68184641"
"CL"|"Yes"|"35936110"|"68184637"
"CL-ML"|"No "|"35936110"|"68184638"
"ML"|"No "|"35936110"|"68184639"
"MH"|"Yes"|"35936109"|"68184634"
"ML"|"No "|"35936109"|"68184635"
"CL"|"No "|"35936109"|"68184636"
"CL"|"Yes"|"35936108"|"68184633"
"CL"|"Yes"|"35936107"|"68184632"
"CL"|"Yes"|"35936106"|"68184631"
"CL"|"No "|"35936105"|"68184629"
"CL-ML"|"Yes"|"35936105"|"68184630"
"CL"|"Yes"|"35936104"|"68184628"
"CL"|"No "|"35936103"|"68184626"
"ML"|"Yes"|"35936103"|"68184627"
"CL"|"Yes"|"35936102"|"68184625"
"CL"|"Yes"|"35936101"|"68184624"
"CL"|"Yes"|"35936100"|"68184623"
"ML"|"No "|"35936099"|"68184620"
"MH"|"Yes"|"35936099"|"68184621"
"CL"|"No "|"35936099"|"68184622"
"CL"|"No "|"35936197"|"68184805"
"CH"|"Yes"|"35936197"|"68184806"
"CH"|"Yes"|"35936196"|"68184803"
"CL"|"No "|"35936196"|"68184804"
"CH"|"Yes"|"35936195"|"68184802"
"MH"|"No "|"35936194"|"68184799"
"CL"|"No "|"35936194"|"68184800"
"CH"|"Yes"|"35936194"|"68184801"
"CH"|"Yes"|"35936193"|"68184798"
"CH"|"No "|"35936192"|"68184796"
"MH"|"Yes"|"35936192"|"68184797"
"CH"|"Yes"|"35936191"|"68184795"
"CL"|"No "|"35936190"|"68184793"
"CH"|"Yes"|"35936190"|"68184794"
"CL"|"No "|"35936074"|"68184569"
"CL"|"No "|"35936073"|"68184568"
"CL"|"No "|"35936072"|"68184567"
"CL"|"No "|"35936071"|"68184566"
"CL"|"No "|"35936070"|"68184565"
"CL"|"No "|"35936069"|"68184563"
"ML"|"No "|"35936069"|"68184564"
"CL"|"No "|"35936068"|"68184561"
"ML"|"No "|"35936068"|"68184562"
"CL"|"No "|"35936067"|"68184560"
"CL"|"No "|"35936066"|"68184559"
"CL"|"No "|"35936065"|"68184558"
"CL"|"No "|"35936064"|"68184557"
"CL"|"Yes"|"35936281"|"68184948"
"CL"|"Yes"|"35936280"|"68184946"
"CH"|"No "|"35936280"|"68184947"
"CH"|"Yes"|"35936279"|"68184944"
"CL"|"No "|"35936279"|"68184945"
"CH"|"No "|"35936278"|"68184942"
"MH"|"Yes"|"35936278"|"68184943"
"CL"|"Yes"|"35936277"|"68184941"
"CL"|"Yes"|"35936276"|"68184940"
"CL"|"Yes"|"35936275"|"68184938"
"CH"|"No "|"35936275"|"68184939"
"CL"|"No "|"35936274"|"68184935"
"ML"|"Yes"|"35936274"|"68184936"
"MH"|"No "|"35936274"|"68184937"
"CL"|"Yes"|"35936273"|"68184934"
"CL"|"Yes"|"35936272"|"68184933"
"CL"|"Yes"|"35936271"|"68184931"
"CH"|"No "|"35936271"|"68184932"
"ML"|"No "|"35936270"|"68184928"
"CL"|"No "|"35936270"|"68184929"
"MH"|"Yes"|"35936270"|"68184930"
"CL"|"No "|"35936189"|"68184791"
"CH"|"Yes"|"35936189"|"68184792"
"CL"|"No "|"35936188"|"68184789"
"CH"|"Yes"|"35936188"|"68184790"
"CL"|"No "|"35936187"|"68184787"
"CH"|"Yes"|"35936187"|"68184788"
"CL"|"No "|"35936186"|"68184784"
"CH"|"No "|"35936186"|"68184785"
"MH"|"Yes"|"35936186"|"68184786"
"CL"|"Yes"|"35936172"|"68184752"
"CL"|"Yes"|"35936171"|"68184751"
"CL"|"Yes"|"35936170"|"68184750"
"CL"|"No "|"35936169"|"68184747"
"ML"|"No "|"35936169"|"68184748"
"MH"|"Yes"|"35936169"|"68184749"
"CH"|"Yes"|"35936168"|"68184745"
"CL"|"No "|"35936168"|"68184746"
"CH"|"No "|"35936167"|"68184743"
"CL"|"Yes"|"35936167"|"68184744"
"CH"|"Yes"|"35936166"|"68184740"
"CL"|"No "|"35936166"|"68184741"
"MH"|"No "|"35936166"|"68184742"
"MH"|"Yes"|"35936165"|"68184739"
"CL"|"Yes"|"35936164"|"68184738"
"CL"|"Yes"|"35936163"|"68184737"
"CH"|"No "|"35936162"|"68184735"
"CL"|"Yes"|"35936162"|"68184736"
"CL"|"No "|"35936161"|"68184732"
"ML"|"No "|"35936161"|"68184733"
"MH"|"Yes"|"35936161"|"68184734"
"CL-ML"|"No "|"35936185"|"68184780"
"SC-SM"|"No "|"35936185"|"68184781"
"CL"|"Yes"|"35936185"|"68184782"
"SC"|"No "|"35936185"|"68184783"
"SC"|"No "|"35936184"|"68184778"
"CL"|"Yes"|"35936184"|"68184779"
"CL"|"Yes"|"35936183"|"68184777"
"CL"|"No "|"35936182"|"68184774"
"MH"|"Yes"|"35936182"|"68184775"
"ML"|"No "|"35936182"|"68184776"
"SC-SM"|"No "|"35936181"|"68184769"
