"Bromegrass-alfalfa"|"AUM"||8.4|||||||"12574670"|"26621157"
"Orchardgrass-alfalfa hay"|"Tons"||5|||||||"12574670"|"26621158"
"Corn"|"Bu"||152|||||||"12574670"|"26621159"
"Soybeans"|"Bu"||49|||||||"12574670"|"26621160"
"Winter wheat"|"Bu"||58|||||||"12574670"|"26621161"
"Oats"|"Bu"||72|||||||"12574670"|"26621162"
"Grass-legume hay"|"Tons"||4.7|||||||"12574670"|"26621163"
"Grass-legume pasture"|"AUM"||6.9|||||||"12574670"|"26621164"
"Corn"|"Bu"|152|169|191||||||"12574782"|"26621741"
"Grass-legume hay"|"Tons"|4.7|5.2|5.9||||||"12574782"|"26621742"
"Oats"|"Bu"|80|89|100||||||"12574782"|"26621743"
"Soybeans"|"Bu"|50|55|62||||||"12574782"|"26621744"
"Winter wheat"|"Bu"|61|68|77||||||"12574782"|"26621745"
"Grass-legume pasture"|"AUM"|7.8|8.7|10.2||||||"12574782"|"26621746"
"Corn"|"Bu"|153|170|192||||||"12574783"|"26621747"
"Oats"|"Bu"|79|88|99||||||"12574783"|"26621748"
"Soybeans"|"Bu"|50|56|63||||||"12574783"|"26621749"
"Winter wheat"|"Bu"|59|65|74||||||"12574783"|"26621750"
"Grass-legume hay"|"Tons"|4.3|5.1|5.8||||||"12574783"|"26621751"
"Grass-legume pasture"|"AUM"|4.5|8.5|9.7||||||"12574783"|"26621752"
"Corn silage"|"Tons"|25|28.9|32.6||||||"12574783"|"26621753"
"Corn"|"Bu"|158|175|197||||||"12574784"|"26621754"
"Soybeans"|"Bu"|49|54|61||||||"12574784"|"26621755"
"Winter wheat"|"Bu"|59|65|74||||||"12574784"|"26621756"
"Oats"|"Bu"|75|83|94||||||"12574784"|"26621757"
"Grass-legume hay"|"Tons"|4.6|5.11|6.1||||||"12574784"|"26621758"
"Grass-legume pasture"|"AUM"|7.67|8.52|9.62||||||"12574784"|"26621759"
"Grass-legume hay"|"Tons"||4.86|||||||"12574110"|"26618232"
"Grass-legume pasture"|"AUM"||7.2|||||||"12574110"|"26618233"
"Winter wheat"|"Bu"||61|||||||"12574110"|"26618234"
"Corn"|"Bu"||164|||||||"12574110"|"26618235"
