"Mollic epipedon"|0|0|0|25|46|49|25|46|49|"12574782"|"4577372"
"Argillic horizon"|25|46|49|100|127|150|51|81|125|"12574782"|"4577373"
"Mollic epipedon"|0|0|0|31|58|61|31|58|61|"12574783"|"4577374"
"Cambic horizon"|31|58|61|94|119|152|33|61|121|"12574783"|"4577375"
"Mollic epipedon"|0|0|0|25|41|56|25|42|60|"12574110"|"4576728"
"Calcic horizon"|0|20|40|40|50|60|15|37|60|"12574110"|"4576729"
"Mollic epipedon"|0|25|25|25|38|50|25|38|50|"12574271"|"4576730"
"Argillic horizon"|25|38|50|102|121|140|64|83|102|"12574271"|"4576731"
"Mollic epipedon"|0|0|0|25|41|56|25|42|60|"12574692"|"4577196"
"Calcic horizon"|0|20|40|40|50|60|15|37|60|"12574692"|"4577197"
"Mollic epipedon"|0|0|0|31|58|61|31|58|61|"12574439"|"4577014"
"Cambic horizon"|31|58|61|94|119|152|33|61|121|"12574439"|"4577015"
"Ochric epipedon"|0|0|0|18|23|23|18|23|23|"12574438"|"4577011"
"Albic horizon"|18|23|23|33|41|56|10|18|38|"12574438"|"4577012"
"Argillic horizon"|33|41|56|107|117|150|51|76|117|"12574438"|"4577013"
"Mollic epipedon"|0|0|0|33|44|51|33|44|51|"12574436"|"4577009"
"Argillic horizon"|33|44|51|94|125|142|43|81|109|"12574436"|"4577010"
"Mollic epipedon"|0|0|0|25|48|61|25|48|61|"12574435"|"4577005"
"Cambic horizon"|25|48|61|102|119|165|61|71|119|"12574435"|"4577006"
"Lithologic discontinuity"|102|104|152|102|104|152|0|0|0|"12574435"|"4577007"
"Aquic conditions"|25|36|61|200|200|200|139|164|175|"12574435"|"4577008"
"Mollic epipedon"|0|0|0|25|36|43|25|36|43|"12574434"|"4577003"
"Argillic horizon"|25|36|43|94|140|142|51|104|117|"12574434"|"4577004"
"Mollic epipedon"|0|0|0|31|58|61|31|58|61|"12574432"|"4577001"
"Cambic horizon"|31|58|61|94|119|152|33|61|121|"12574432"|"4577002"
"Mollic epipedon"|0|0|0|25|46|49|25|46|49|"12574431"|"4576999"
"Argillic horizon"|25|46|49|100|127|150|51|81|125|"12574431"|"4577000"
