"H1"||"H"||1||0|||33|||||0|0|0|0|0|0|100|100|100|100|100|100|96|100|100|91|94|98||9.4|||0|||0|||0.2|||2.6|||6.6|||67.1||||||||20|23.5|27||||2|3|4||||1.15|1.25|1.35|||||1.31|||4.23|9.17|14.11|0.22|0.23|0.24|||||29.9|||15.1|||49||0|1.5|2.9|25|30|35|8|11.5|15||||".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|16|20|24|||||||5.6|6.7|7.8|||||||||||||||||||||||||||||||||"12574670"|"35936029"
"H2"||"H"||2||33|||76|||||0|0|0|0|0|0|100|100|100|100|100|100|94|99|100|90|95|100||6.9|||0.4|||0.6|||0.9|||2.2|||2.8|||63.1||||||||25|30|35||||0|0.25|0.5||||1.25|1.35|1.45|||||1.54|||4.23|9.17|14.11|0.18|0.19|0.2|||||30.8|||16.5|||46||3|4.5|5.9|35|42.5|50|18|24|30||||".43"|".43"|0|10|20|0|0|0|0|0|0|0|0|0|15|18.5|22|||||||5.6|7|8.4|||||||||||||||||||||||||||||||||"12574670"|"35936030"
"H3"||"H"||3||76|||203|||||0|0|0|0|0|0|100|100|100|100|100|100|96|100|100|91|94|98||9.4|||0|||0|||0.2|||2.6|||6.6|||67.1||||||||20|23.5|27||||0|0.05|0.1||||1.35|1.45|1.55|||||1.52|||4.23|9.17|14.11|0.2|0.21|0.22|||||28.8|||13.7|||43||0|1.5|2.9|20|28.5|37|8|14|20||||".49"|".49"|10|25|40|0|0|0|0|0|0|0|0|0|12|16.5|21|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"12574670"|"35936031"
"Ap"||"A"|||0|0|0|13|25|33||25||0|0|0|0|0|0|100|100|100|100|100|100|96|99|100|91|96|100|1.7|5|7|0|0.3|1|0.1|0.5|2|0.1|0.5|2|0.5|1.6|2|1|2.1|3|66|70|78.6|||||||15|25|27|0|0|0|3.5|4.25|5||||1.25|1.35|1.45||||1.38|1.48|1.5|2.55|4.23|9.17|14.11|0.22|0.23|0.24||||27.9|32.1|33.3|12.5|18.7|20.6|41|45|48|1.5|3.2|3.6|33|44|47|9|17|18|8|19|22|".32"|".32"|0|0|0|0|0|0|0|0|0|0|1|2|13.5|21.1|22.6||||10.3|18.8|22.1|5.6|5.8|7.3||||||||||2.6|7.9|8.9|||||||||||||||||||||"12574782"|"35936415"
"Btg2"||"B"||2|70|79|90|100|127|150||48||0|0|0|0|0|0|100|100|100|100|100|100|97|99|100|92|96|100|1.7|5|7|0|0.3|1|0.1|0.5|2|0.1|0.5|2|0.5|1.6|2|1|2.1|3.2|58|64|70.6|||||||27|31|35|0|0|0|0.1|0.3|0.5||||1.35|1.45|1.55||||1.54|1.64|1.72|2.6|4.23|9.17|14.11|0.18|0.19|0.21||||30.3|31.9|33.5|15.8|18.4|20.9|38|42|46|3.3|4.1|5.9|37|41|46|19|22|25|17|22|27|".43"|".43"|0|0|5|0|0|0|0|0|0|0|1|2|19.9|23.2|26.2||||17.5|24.7|65.2|6.6|7.6|7.8||||||||||0.8|1.8|5|||||||||||||||||||||"12574782"|"35936416"
"Btg1"||"B"||1|40|46|49|70|79|90||33||0|0|0|0|0|0|100|100|100|100|100|100|97|99|100|93|96|100|1.7|5|7|0|0.3|1|0.1|0.5|2|0.1|0.5|2|0.5|1.6|2|1|2.1|3|50.4|58|63.3|||||||35|37|45|0|0|0|0.5|1|1.5||||1.3|1.4|1.5||||1.59|1.69|1.79|2.58|1.41|2.82|4.23|0.15|0.16|0.18||||33|34|36.6|20.2|21.9|26.9|40|43|47|5.9|6.5|8.6|46|49|58|25|26|33|25|27|38|".37"|".37"|0|0|0|0|0|0|0|0|0|0|1|2|26.2|28.1|33.8||||24.6|26.3|33.6|5.6|6.1|7.3||||||||||3|6.7|8.9|||||||||||||||||||||"12574782"|"35936417"
"A"||"A"|||13|25|33|40|46|49||21||0|0|0|0|0|0|100|100|100|100|100|100|97|99|100|92|96|100|1.7|5|7|0|0.3|1|0.1|0.5|2|0.1|0.5|2|0.5|1.6|2|1|2.1|3.5|58|62|68.8|||||||27|33|35|0|0|0|1.5|2.5|3.5||||1.2|1.3|1.4||||1.4|1.5|1.56|2.56|4.23|9.17|14.11|0.18|0.19|0.21||||30.3|32.9|34.1|15.8|20|22.1|43|47|50|3.5|4.8|6.2|40|48|52|19|23|25|18|25|29|".37"|".37"|0|0|0|0|0|0|0|0|0|0|1|2|21.7|26.3|28||||18.3|22.5|27.8|5.6|5.8|7.3||||||||||2.9|7.9|8.9|||||||||||||||||||||"12574782"|"35936418"
"Cg"||"C"|||100|127|150|152|152|152||25||0|0|0|0|0|0|100|100|100|100|100|100|96|99|100|91|96|100|1.7|5|7|0|0.3|1|0.1|0.5|2|0.1|0.5|2|0.5|1.6|2|1|2.1|3|66|74|82.6|||||||15|21|27|0|0|0|0|0.25|0.5||||1.4|1.5|1.6||||1.51|1.61|1.66|2.62|4.23|9.17|14.11|0.19|0.21|0.26||||24.8|28.2|31|9|12.9|16.9|37|41|44|1.3|2.3|3.4|25|31|38|9|14|19|6|12|20|".49"|".49"|0|8|15|0|0|0|0|0|0|0|1|2|11.3|16.5|21||||11.3|18|60|7.4|8.2|8.4||||||||||0|0|2.2|||||||||||||||||||||"12574782"|"35936419"
"Cg"||"C"|||102|119|150|152|152|152||33||0|0|0|0|0|0|100|100|100|100|100|100|98|100|100|96|99|100|1|1.3|7|0|0|1|0.1|0.1|2|0.1|0.2|2|0.1|0.2|2|0.5|0.8|5|69.3|75.8|79|||||||20|22.9|27|0|0|0|0|0.1|0.5||||1.38|1.38|1.41||||1.49|1.49|1.53||4.23|9.17|14.11|0.19|0.21|0.26||||26.7|28.1|30.1|11|12.8|15.5|44|45|45|2.1|2.7|3.6|30|33|38|13|16|19|11|15|20|".49"|".49"|0|10|20|0|0|0|0|0|0|0|1|2|14.2|17.1|21.2||||13.7|18.6|60.2|7.4|7.8|8.4||||||||||0|0.5|2.2|||||||||||||||||||||"12574783"|"35936420"
"Ap"||"A"|||0|0|0|31|58|61||58||0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|95|99|100|1|1.7|7|0|0.1|1|0.1|0.2|2|0.1|0.2|2|0.1|0.2|2|0.5|1|5|59.3|66.3|72|||||||27|32|35|0|0|0|4.5|4.5|6||||1.25|1.3|1.34||||1.45|1.5|1.53||4.23|9.17|14.11|0.17|0.19|0.22||||32.5|33.9|35.6|19.3|21.7|24.9|44|46|48|3.8|4.8|5.5|46|51|57|18|22|24|20|26|30|".24"|".24"|0|0|0|0|0|0|0|0|0|0|1|2|23.1|26.9|29.5||||19.3|24.2|29.3|5.6|6|7.3||||||||||4.1|8.1|12|||||||||||||||||||||"12574783"|"35936421"
