"CL"|"No "|"35936029"|"68184479"
"CL"|"No "|"35936030"|"68184480"
"CL"|"No "|"35936031"|"68184481"
"ML"|"Yes"|"35936415"|"68185136"
"CL"|"Yes"|"35936416"|"68185137"
"CL"|"Yes"|"35936417"|"68185138"
"CH"|"No "|"35936417"|"68185139"
"CH"|"No "|"35936418"|"68185140"
"CL"|"Yes"|"35936418"|"68185141"
"CL"|"Yes"|"35936419"|"68185142"
"CL"|"Yes"|"35936420"|"68185143"
"MH"|"Yes"|"35936421"|"68185144"
"ML"|"No "|"35936421"|"68185145"
"CL"|"Yes"|"35936422"|"68185146"
"CL"|"Yes"|"35936423"|"68185147"
"ML"|"No "|"35934097"|"68180771"
"MH"|"Yes"|"35934097"|"68180772"
"CL"|"No "|"35934097"|"68180773"
"CL"|"Yes"|"35934098"|"68180774"
"CL"|"Yes"|"35934099"|"68180775"
"CL"|"Yes"|"35934100"|"68180776"
"CL"|"No "|"35934101"|"68180777"
"ML"|"Yes"|"35934101"|"68180778"
"CL"|"Yes"|"35934102"|"68180779"
"CL"|"No "|"35934103"|"68180780"
"CL-ML"|"Yes"|"35934103"|"68180781"
"CL"|"Yes"|"35934104"|"68180782"
"CL"|"Yes"|"35934105"|"68180783"
"CL"|"Yes"|"35934106"|"68180784"
"MH"|"Yes"|"35934107"|"68180785"
"ML"|"No "|"35934107"|"68180786"
"CL"|"No "|"35934107"|"68180787"
"CL"|"Yes"|"35934108"|"68180788"
"CL-ML"|"No "|"35934108"|"68180789"
"ML"|"No "|"35934108"|"68180790"
"CL"|"Yes"|"35934109"|"68180791"
"ML"|"No "|"35934109"|"68180792"
"CL"|"Yes"|"35934110"|"68180793"
"ML"|"No "|"35934110"|"68180794"
"CL"|"Yes"|"35934111"|"68180795"
"ML"|"No "|"35934111"|"68180796"
"CL"|"Yes"|"35934112"|"68180797"
"CL"|"No "|"35934113"|"68180798"
"ML"|"No "|"35934113"|"68180799"
"MH"|"Yes"|"35934113"|"68180800"
"CL"|"Yes"|"35934114"|"68180801"
"CL"|"Yes"|"35934115"|"68180802"
"ML"|"No "|"35936099"|"68184620"
"MH"|"Yes"|"35936099"|"68184621"
"CL"|"No "|"35936099"|"68184622"
"CL"|"Yes"|"35936100"|"68184623"
"CL"|"Yes"|"35936101"|"68184624"
"CL"|"Yes"|"35936102"|"68184625"
"CL"|"No "|"35936103"|"68184626"
"ML"|"Yes"|"35936103"|"68184627"
"CL"|"Yes"|"35936104"|"68184628"
"CL"|"No "|"35936105"|"68184629"
"CL-ML"|"Yes"|"35936105"|"68184630"
"CL"|"Yes"|"35936106"|"68184631"
"CL"|"Yes"|"35936107"|"68184632"
"CL"|"Yes"|"35936108"|"68184633"
"MH"|"Yes"|"35936109"|"68184634"
"ML"|"No "|"35936109"|"68184635"
"CL"|"No "|"35936109"|"68184636"
"CL"|"Yes"|"35936110"|"68184637"
"CL-ML"|"No "|"35936110"|"68184638"
"ML"|"No "|"35936110"|"68184639"
"CL"|"Yes"|"35936111"|"68184640"
"ML"|"No "|"35936111"|"68184641"
"CL"|"Yes"|"35936112"|"68184642"
