"Corn"|"Bu"|155|172|194||||||"12574349"|"26619480"
"Soybeans"|"Bu"|50|55|63||||||"12574349"|"26619481"
"Oats"|"Bu"|81|90|102||||||"12574349"|"26619482"
"Grass-legume hay"|"Tons"|4.7|5.22|5.9||||||"12574349"|"26619483"
"Winter wheat"|"Bu"|61|68|79||||||"12574349"|"26619484"
"Grass-legume pasture"|"AUM"|7.7|8.7|11.6||||||"12574349"|"26619485"
"Corn"|"Bu"|156|173|195||||||"12574350"|"26619486"
"Soybeans"|"Bu"|50|56|63||||||"12574350"|"26619487"
"Winter wheat"|"Bu"|53|59|66||||||"12574350"|"26619488"
"Oats"|"Bu"|81|90|102||||||"12574350"|"26619489"
"Grass-legume hay"|"Tons"|4.6|5.11|5.77||||||"12574350"|"26619490"
"Grass-legume pasture"|"AUM"|7.67|8.52|9.62||||||"12574350"|"26619491"
"Corn"|"Bu"|158|175|197||||||"12574336"|"26619402"
"Soybeans"|"Bu"|49|54|61||||||"12574336"|"26619403"
"Winter wheat"|"Bu"|59|65|74||||||"12574336"|"26619404"
"Oats"|"Bu"|75|83|94||||||"12574336"|"26619405"
"Grass-legume pasture"|"AUM"|7.67|8.52|9.62||||||"12574336"|"26619406"
"Grass-legume hay"|"Tons"|4.6|5.11|6.1||||||"12574336"|"26619407"
"Corn"|"Bu"|136|151|170||||||"12574337"|"26619408"
"Soybeans"|"Bu"|44|49|55||||||"12574337"|"26619409"
"Winter wheat"|"Bu"|53|59|66||||||"12574337"|"26619410"
"Oats"|"Bu"|70|78|88||||||"12574337"|"26619411"
"Grass-legume hay"|"Tons"|4.1|4.55|5.14||||||"12574337"|"26619412"
"Grass-legume pasture"|"AUM"|6.83|7.58|8.57||||||"12574337"|"26619413"
"Corn"|"Bu"|155|172|195||||||"12574338"|"26619414"
"Soybeans"|"Bu"|50|56|63||||||"12574338"|"26619415"
"Winter wheat"|"Bu"|58|64|73||||||"12574338"|"26619416"
"Oats"|"Bu"|80|89|100||||||"12574338"|"26619417"
"Grass-legume hay"|"Tons"|4.5|5|5.64||||||"12574338"|"26619418"
"Grass-legume pasture"|"AUM"|7.5|8.33|9.4||||||"12574338"|"26619419"
"Corn"|"Bu"|147|163|185||||||"12574379"|"26619645"
"Soybeans"|"Bu"|46|51|58||||||"12574379"|"26619646"
"Winter wheat"|"Bu"|57|63|72||||||"12574379"|"26619647"
"Oats"|"Bu"|78|87|98||||||"12574379"|"26619648"
"Grass-legume hay"|"Tons"|5.34|5.93|6.7||||||"12574379"|"26619649"
"Grass-legume pasture"|"AUM"|8.9|9.88|11.17||||||"12574379"|"26619650"
"Corn"|"Bu"|145|161|182||||||"12574352"|"26619492"
"Soybeans"|"Bu"|46|51|57||||||"12574352"|"26619493"
"Winter wheat"|"Bu"|54|60|68||||||"12574352"|"26619494"
"Oats"|"Bu"|71|79|89||||||"12574352"|"26619495"
"Grass-legume hay"|"Tons"|4.29|4.77|5.39||||||"12574352"|"26619496"
"Grass-legume pasture"|"AUM"|7.16|7.95|8.98||||||"12574352"|"26619497"
"Corn"|"Bu"|131|145|164||||||"12574353"|"26619498"
"Soybeans"|"Bu"|43|48|55||||||"12574353"|"26619499"
"Winter wheat"|"Bu"|49|54|61||||||"12574353"|"26619500"
"Oats"|"Bu"|62|69|78||||||"12574353"|"26619501"
"Grass-legume hay"|"Tons"|4|4.44|5.02||||||"12574353"|"26619502"
"Grass-legume pasture"|"AUM"|6.66|7.4|8.37||||||"12574353"|"26619503"
"Soybeans"|"Bu"|50|56|63||||||"12574354"|"26619504"
"Winter wheat"|"Bu"|58|64|73||||||"12574354"|"26619505"
"Oats"|"Bu"|80|89|100||||||"12574354"|"26619506"
"Grass-legume hay"|"Tons"|4.5|5|5.64||||||"12574354"|"26619507"
"Corn"|"Bu"|154|172|195||||||"12574354"|"26619508"
"Grass-legume pasture"|"AUM"|7.4|8.33|10.9||||||"12574354"|"26619509"
"Corn"|"Bu"|156|173|195||||||"12574333"|"26619384"
"Soybeans"|"Bu"|50|56|63||||||"12574333"|"26619385"
"Winter wheat"|"Bu"|53|59|66||||||"12574333"|"26619386"
"Oats"|"Bu"|81|90|102||||||"12574333"|"26619387"
"Grass-legume hay"|"Tons"|4.6|5.11|5.77||||||"12574333"|"26619388"
"Grass-legume pasture"|"AUM"|7.67|8.52|9.62||||||"12574333"|"26619389"
"Corn"|"Bu"|131|145|164||||||"12574334"|"26619390"
"Soybeans"|"Bu"|43|48|55||||||"12574334"|"26619391"
"Winter wheat"|"Bu"|49|54|61||||||"12574334"|"26619392"
"Oats"|"Bu"|62|69|78||||||"12574334"|"26619393"
"Grass-legume hay"|"Tons"|4|4.44|5.02||||||"12574334"|"26619394"
