"Lithologic discontinuity"|102|114|152|102|114|152|0|0|0|"12574349"|"4576788"
"Aquic conditions"|30|46|50|152|152|200|102|106|170|"12574349"|"4576789"
"Mollic epipedon"|0|0|0|25|46|50|25|46|50|"12574349"|"4576790"
"Argillic horizon"|25|46|50|114|124|165|74|78|140|"12574349"|"4576791"
"Mollic epipedon"|0|0|0|25|53|61|25|53|61|"12574350"|"4576792"
"Cambic horizon"|25|53|61|114|175|191|85|122|152|"12574350"|"4576793"
"Lithologic discontinuity"|102|112|152|102|112|152|0|0|0|"12574350"|"4576794"
"Mollic epipedon"|0|0|0|25|41|48|25|41|48|"12574336"|"4576753"
"Argillic horizon"|25|41|48|102|125|178|61|84|117|"12574336"|"4576754"
"Lithologic discontinuity"|102|125|152|102|125|152|0|0|0|"12574336"|"4576755"
"Mollic epipedon"|0|0|0|25|28|36|25|28|36|"12574337"|"4576756"
"Albic horizon"|25|28|36|35|38|61|10|10|25|"12574337"|"4576757"
"Lithologic discontinuity"|76|104|137|76|104|137|0|0|0|"12574337"|"4576758"
"Aquic conditions"|0|28|30|152|152|200|122|124|200|"12574337"|"4576759"
"Argillic horizon"|35|38|61|102|124|165|41|86|100|"12574337"|"4576760"
"Mollic epipedon"|0|0|0|25|48|61|25|48|61|"12574338"|"4576761"
"Cambic horizon"|25|48|61|102|119|165|61|71|119|"12574338"|"4576762"
"Aquic conditions"|25|36|61|152|152|200|91|116|175|"12574338"|"4576763"
"Lithologic discontinuity"|102|104|152|102|104|152|0|0|0|"12574338"|"4576764"
"Argillic horizon"|25|41|46|102|104|152|56|63|127|"12574379"|"4576870"
"Mollic epipedon"|0|0|0|25|41|46|25|41|46|"12574379"|"4576871"
"Lithologic discontinuity"|102|104|145|102|104|145|0|0|0|"12574379"|"4576872"
"Mollic epipedon"|0|0|0|25|46|61|25|46|61|"12574352"|"4576795"
"Aquic conditions"|25|46|61|152|152|152|91|106|127|"12574352"|"4576796"
"Cambic horizon"|25|46|61|56|104|117|25|58|89|"12574352"|"4576797"
"Lithologic discontinuity"|91|142|152|91|142|152|0|0|0|"12574352"|"4576798"
"Calcic horizon"|0|0|41|15|46|76|15|46|71|"12574352"|"4576799"
"Mollic epipedon"|0|0|0|61|69|91|61|69|91|"12574353"|"4576800"
"Cambic horizon"|61|69|91|97|127|152|30|58|91|"12574353"|"4576801"
"Aquic conditions"|61|69|91|152|152|152|61|83|91|"12574353"|"4576802"
"Mollic epipedon"|0|0|0|25|48|61|25|48|61|"12574354"|"4576803"
"Aquic conditions"|25|36|61|152|152|200|91|116|175|"12574354"|"4576804"
"Lithologic discontinuity"|102|104|152|102|104|152|0|0|0|"12574354"|"4576805"
"Cambic horizon"|25|48|61|102|119|165|61|71|119|"12574354"|"4576806"
"Mollic epipedon"|0|0|0|25|53|61|25|53|61|"12574333"|"4576741"
"Cambic horizon"|25|53|61|114|175|191|85|122|152|"12574333"|"4576742"
"Lithologic discontinuity"|102|112|152|102|112|152|0|0|0|"12574333"|"4576743"
"Aquic conditions"|25|53|61|152|200|200|91|147|175|"12574333"|"4576744"
"Mollic epipedon"|0|0|0|61|69|91|61|69|91|"12574334"|"4576745"
"Cambic horizon"|61|69|91|97|127|152|30|58|91|"12574334"|"4576746"
"Aquic conditions"|61|69|91|152|152|152|61|83|91|"12574334"|"4576747"
"Mollic epipedon"|0|0|0|25|46|61|25|46|61|"12574335"|"4576748"
"Aquic conditions"|25|46|61|152|152|152|91|106|127|"12574335"|"4576749"
"Cambic horizon"|25|46|61|56|104|117|25|58|89|"12574335"|"4576750"
"Lithologic discontinuity"|91|142|152|91|142|152|0|0|0|"12574335"|"4576751"
"Calcic horizon"|0|0|41|15|46|76|15|46|71|"12574335"|"4576752"
