"g"|"35934875"|"12988477"
"g"|"35934874"|"12988476"
"g"|"35934873"|"12988475"
"p"|"35934872"|"12988473"
"k"|"35934872"|"12988474"
"g"|"35934871"|"12988481"
"g"|"35934870"|"12988480"
"g"|"35934869"|"12988479"
"p"|"35934868"|"12988478"
"t"|"35934866"|"12988685"
"g"|"35934866"|"12988686"
"t"|"35934865"|"12988683"
"g"|"35934865"|"12988684"
"p"|"35934864"|"12988682"
"g"|"35934888"|"12988467"
"t"|"35934887"|"12988465"
"g"|"35934887"|"12988466"
"t"|"35934886"|"12988463"
"g"|"35934886"|"12988464"
"p"|"35934885"|"12988462"
"g"|"35934884"|"12988698"
"g"|"35934883"|"12988696"
"t"|"35934883"|"12988697"
"g"|"35934882"|"12988694"
"t"|"35934882"|"12988695"
"g"|"35934881"|"12988693"
"p"|"35934880"|"12988692"
"g"|"35934879"|"12988687"
"t"|"35934878"|"12988690"
"g"|"35934878"|"12988691"
"t"|"35934877"|"12988689"
"p"|"35934876"|"12988688"
"g"|"35934945"|"12988540"
"t"|"35934944"|"12988538"
"g"|"35934944"|"12988539"
"t"|"35934943"|"12988536"
"g"|"35934943"|"12988537"
"p"|"35934942"|"12988535"
"g"|"35934941"|"12988456"
"g"|"35934940"|"12988455"
"g"|"35934939"|"12988454"
"p"|"35934938"|"12988453"
"g"|"35934937"|"12988461"
"g"|"35934936"|"12988460"
"g"|"35934935"|"12988459"
"p"|"35934934"|"12988457"
"k"|"35934934"|"12988458"
"t"|"35935028"|"12988623"
"p"|"35935026"|"12988622"
"t"|"35934932"|"12988533"
"g"|"35934932"|"12988534"
"t"|"35934931"|"12988531"
"g"|"35934931"|"12988532"
"p"|"35934930"|"12988530"
"t"|"35934929"|"12988526"
"t"|"35934928"|"12988528"
"t"|"35934926"|"12988529"
"p"|"35934924"|"12988527"
