"Silty clay loam"||"70772942"|"72023402"
"Silt loam"||"70772941"|"72023401"
"Clay loam"||"70772940"|"72023400"
"Silty clay loam"||"70772939"|"72023399"
"Silt loam"||"70772938"|"72023398"
"Clay loam"||"70772937"|"72022582"
"Silt loam"||"70772936"|"72022277"
"Silty clay loam"||"70772935"|"72022581"
"Silty clay loam"||"70772934"|"72022276"
"Silty clay loam"||"70772933"|"72021388"
"Clay loam"||"70772932"|"72021232"
"Loam"||"70772931"|"72021557"
"Loam"||"70772930"|"72021556"
"Silty clay loam"||"70772929"|"72021555"
"Clay loam"||"70772928"|"72021554"
"Silt loam"||"70772927"|"72021553"
"Silty clay loam"||"70772926"|"72021387"
"Silt loam"||"70772925"|"72021231"
"Loam"||"70772924"|"72021386"
"Loam"||"70772923"|"72021230"
"Silt loam"||"70772922"|"72021385"
"Silt loam"||"70772921"|"72021552"
"Silty clay loam"||"70772920"|"72021551"
"Silty clay loam"||"70772919"|"72021550"
"Silty clay"||"70772918"|"72021549"
"Silt loam"||"70772917"|"72021384"
"Loam"||"70771459"|"72023443"
"Sandy loam"||"70771459"|"72023444"
"Loam"||"70771458"|"72023442"
"Silty clay loam"||"70771457"|"72022321"
"Silty clay loam"||"70771456"|"72022617"
"Loam"||"70771455"|"72021322"
"Silt loam"||"70771455"|"72021323"
"Silt loam"||"70771454"|"72022104"
"Silty clay loam"||"70771453"|"72022407"
"Silt loam"||"70771452"|"72021928"
"Silt loam"||"70771451"|"72021972"
"Loam"||"70771451"|"72021973"
"Sandy loam"||"70771451"|"72021974"
"Loam"||"70773309"|"72023878"
"Silt loam"||"70773308"|"72023877"
"Loam"||"70773307"|"72022403"
"Silty clay loam"||"70773306"|"72023238"
"Silt loam"||"70773305"|"72022402"
"Clay loam"||"70773304"|"72023237"
"Silty clay loam"||"70773303"|"72023619"
"Silty clay loam"||"70773302"|"72023618"
"Silty clay"||"70773301"|"72023620"
"Silty clay loam"||"70773300"|"72023240"
"Silt loam"||"70773299"|"72022405"
"Silty clay loam"||"70773298"|"72023239"
"Silty clay"||"70773297"|"72022404"
"Silty clay loam"||"70773296"|"72023880"
"Silty clay loam"||"70773295"|"72023879"
"Loam"||"70773294"|"72023274"
"Silty clay loam"||"70773293"|"72023273"
"Silt loam"||"70773292"|"72023272"
"Clay loam"||"70773291"|"72023271"
"Loam"||"70773290"|"72023047"
"Silty clay loam"||"70773289"|"72023157"
"Silt loam"||"70773288"|"72023046"
"Clay loam"||"70773287"|"72023156"
"Silt loam"||"70773286"|"72023791"
"Silty clay loam"||"70773285"|"72023790"
"Silty clay loam"||"70773284"|"72023789"
"Sandy loam"||"70773448"|"72023306"
"Clay loam"||"70773448"|"72023307"
"Silt loam"||"70773447"|"72023308"
"Clay loam"||"70773446"|"72023305"
"Sandy loam"||"70773445"|"72023080"
"Loam"||"70773444"|"72023189"
"Silt loam"||"70773443"|"72023079"
"Silty clay loam"||"70773442"|"72023188"
"Silty clay loam"||"70773441"|"72023815"
"Silty clay"||"70773440"|"72023611"
"Silty clay loam"||"70773439"|"72023610"
"Silt loam"||"70773438"|"72023609"
"Silty clay loam"||"70773437"|"72023608"
"Silty clay"||"70773436"|"72022697"
"Silty clay loam"||"70773435"|"72022395"
"Silty clay loam"||"70773434"|"72022696"
"Loam"||"70773433"|"72023874"
"Silt loam"||"70773432"|"72023873"
"Loam"||"70773431"|"72023872"
"Silty clay loam"||"70773430"|"72023231"
"Silt loam"||"70773429"|"72022397"
"Clay loam"||"70773428"|"72023230"
"Silty clay loam"||"70773427"|"72022396"
"Silty clay loam"||"70773426"|"72023229"
"Clay loam"||"70773614"|"72023495"
"Silt loam"||"70773613"|"72023043"
"Loam"||"70773612"|"72023152"
"Clay loam"||"70773611"|"72023494"
"Silty clay loam"||"70773610"|"72023270"
"Loam"||"70773609"|"72023269"
"Silt loam"||"70773608"|"72023268"
"Silty clay loam"||"70773607"|"72022373"
"Silty clay loam"||"70773606"|"72022674"
"Silt loam"||"70773605"|"72022372"
"Clay loam"||"70773333"|"72023614"
"Sandy loam"||"70773333"|"72023615"
"Silt loam"||"70773332"|"72023613"
"Clay loam"||"70773331"|"72023612"
"Sandy loam"||"70773330"|"72022399"
"Loam"||"70773329"|"72023233"
"Silt loam"||"70773328"|"72022398"
"Silty clay loam"||"70773327"|"72023232"
"Silty clay loam"||"70773326"|"72023875"
"Sandy loam"||"70773325"|"72023051"
"Silty clay loam"||"70773325"|"72023052"
"Sandy clay loam"||"70773324"|"72023283"
"Loam"||"70773323"|"72023050"
"Clay loam"||"70773322"|"72023161"
"Silt loam"||"70773321"|"72023282"
"Silt loam"||"70773320"|"72023281"
"Silty clay loam"||"70773319"|"72023280"
"Silt loam"||"70773318"|"72023049"
"Silt loam"||"70773317"|"72023160"
"Loamy sand"||"70773316"|"72023275"
"Loam"||"70773316"|"72023276"
"Loam"||"70773315"|"72023048"
"Silt loam"||"70773314"|"72023159"
"Sandy loam"||"70773313"|"72023158"
"Silt loam"||"70773312"|"72023279"
"Silty clay loam"||"70773311"|"72023278"
"Silt loam"||"70773310"|"72023277"
"Loam"||"70773425"|"72023078"
"Silty clay loam"||"70773424"|"72023186"
"Silt loam"||"70773423"|"72023077"
"Clay loam"||"70773422"|"72023304"
"Loam"||"70773421"|"72023303"
"Silty clay loam"||"70773420"|"72023302"
"Silt loam"||"70773419"|"72023301"
"Clay loam"||"70773418"|"72023076"
"Silt loam"||"70773417"|"72023185"
"Silty clay loam"||"70773416"|"72023075"
"Silty clay loam"||"70773415"|"72023184"
"Silty clay loam"||"70773414"|"72023183"
"Silt loam"||"70773413"|"72023073"
"Silty clay"||"70773412"|"72023297"
"Silty clay loam"||"70773411"|"72023296"
"Silt loam"||"70773410"|"72023813"
"Loam"||"70773409"|"72023300"
"Clay loam"||"70773408"|"72023812"
"Silty clay loam"||"70773407"|"72023187"
"Loam"||"70773406"|"72023299"
"Silt loam"||"70773405"|"72023298"
"Silty clay loam"||"70773404"|"72023814"
"Silt loam"||"70773403"|"72023074"
